INDEX,NAME,CMC,COST,RARITY,MODIFIER,TYPE,COLOR,ATK,DEF,CARD TEXT,TOPIC,#,FLAVOR TEXT,Summarization,,
-2,"Rotmg, minecraft, lol, prison break, Breaking Bad, Better Call Saul, Inheritance, Rome, Medieval games, Adventure Quest, Swords and sandals, getting drunk, getting high, undertale, deltarune, chainsaw man, MOVIES WE WATCHED, Smiling friends, dont hug me im scared","IRL 
TV 
BOOK 
ROTMG 
UNDER 
ANIME 
DRG 
MINECRAFT 
BB 
FRANKEN 
PRISON BREAK
LOL","Aether Revolt
DayBreak
Scars of Mirrodin
BattleBond
Amonkhet
Ixalan
CardSmith
Zendikar Rising
War of the Spark
TeaTime
Fate Reforged
Ravnica All",Bargain tokens OR vengence tokens (ghosts),Mechanical motifs:,"food tokens, treasures, +1/+1 counters, common currency, having creatures/effects use life/tokens to feed creatures, events (creatures reacting to the number of active events, inactive events)",Keywords:,"Worth X (Sacrifice this card: create X treasure tokens)
Costly X (As an additional cost to this spell, sacrifice X treasure tokens)","Bloodrush
Affinity","Creatures reacting to number of events
Devotion to players?
Creatures stopping events from occuring
More counterspells","More card draw, extending/copying events",359,"For Roey:
Add subtypes and interaction with subtypes
Balance number of cards and mana curve in each color",,,
-1,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,
1,Unpopular Opinion:,2,{u/b},Common,,Instant,Black,-,-,Destroy target artifact or enchanment unless its controller pays {2}.,IRL,3,,Kill,,
2,DUDE,4,{4},Common,,Instant,Colorless,-,-,Draw cards equal to the number of active Events.,IRL,3,,Buff,,
3,Disgusting Kitchen,,,Common,,Land,Black/Blue,-,-,{t}: Add {b} or {u} to your mana pool.,IRL,0,,Minion,,
4,Peanut Butter:,1,{r},Common,,Sorcery,Red,-,-,"If target creature has a +1/+1 counter on it, tap it. Put a +1/+1 counter on it. Create 2 Foods.",IRL,3,,,,
5,Kermit the Frog,2,{1}{g},Rare,,Creature,Green,1,2,"{t} Add {g} to your mana pool. 
{2}: Kermit the Frog gains reach until end of turn.",IRL,2,"""*lip smack* Ahm...""",,,
6,Erez Levy,3,{1}{w/g}{w/g},Uncommon,,Creature,White/Green,3,3,"When Erez Levy enters the battlefield, destroy target creature unless its controller donates you a Treasure.",IRL,1,,,,
7,Assaf,1,{1},Common,,Creature,Colorless,1,1,,IRL,10,"""What was I supposed to be doing again?""",,,
8,My Friending,3,{1}{g}{r},Uncommon,,Sorcery,Red/Green,2,2,"Haste
When My Friending enters the battlefield, choose a color. Target permanent gains protection from that color until end of turn.
Donate",IRL,2,,,,
9,Blue Nun,3,{2}{u},Common,,Artifact Eq.,Blue,-,-,"Equip {1} 
At the beginning of your upkeep, put a +2/-1 counter on equipped creature.",IRL,1,,Minion,,
10,The Hard R,2,{b}{b},Rare,,Instant,Black,-,-,"Destroy target creature. If this spell is countered, its controller loses 3 life.",IRL,2,"""Stop.""",,,
11,Messi/The GOAT:,5,{3}{r/g}{r/g},,,Creature,Green,5,4,"Haste
When Messi deals combat damage to an opponent, create a Treasure.",IRL,1,,,,
12,"Faramir, the Forgotten",4,{2}{w}{w},Rare,Legendary,Creature,White,4,5,"Shadow
Whenever Faramir deals combat damage to a player, put a +1/-1 counter on it.",BOOK,1,"""HEEEYYY GUUUUYYYYYSS!!!""",,,
13,The Vape (addiction stacks):,2,{1}{r},Uncommon,,Artifact Eq.,Red,-,-,"Equip {1}
At the end of your turn, place a +1/-1 token on equipped creature.
",IRL,1,,,,
14,The Speaker:,3,{2}{r},Rare,,Artifact Eq.,Red,-,-,"Equip {1}
Equipped creature gets +2/+0 and has trample.
Worth 1",IRL,2,,,,
15,The Farter:,3,{1}{b}{b},Rare,,Artifact,Blue,-,-,"{t}: Tap target creature
{t}, sacrifice a token: put a +1/+1 counter on target creature 
Worth 1",IRL,2,,Minion/Buff,,
16,Shack strikes back (his farts):,2,{1}{r/g},Common,,Instant,Red/Green,-,-,Destroy attacking creature.,IRL,3,,,,
17,The Multiverse:,5,{w}{u}{b}{r}{g},Rare,,Sorcery,White/Blue/Black/Red/Green,-,-,"Costly 2
Prolong each active Event by 1 turn, then start an Event with, ""Lasts 1 turn. Players may sacrifice cards whose converted mana costs are X to search their library for a card with converted mana cost less than or equal to X and put it on the battlefield.""",IRL,2,,,,
18,Hannibal Barca:,5,{2}{g}{g}{g},Rare,Legendary,Creature,Green,2,3,"When Hannibal Barca enters the field, create a 3/4 Green Elephant creature token with, ""{1}{g}{g}: this creature gains trample until end of turn.""
Sacrifice a Treasure or Food: Cards named Hannibal Barca and all Elephant creatures gain first strike until end of turn.",IRL,1,,,,
19,Rabid cats:,1,{1},Uncommon,,Creature,Black/Red/Green,1,1,"You must pay {b},{r}, or {g} as Rabid Cats' mana cost.
Sacrifice a Food: place a +1/+1 counter on Rabid Cats. It gains first strike until end of turn.",IRL,4,,,,
20,"Tami Tamir, the Humblest",5,{1}{u}{u}{u}{u},Rare,Legendary,Creature,Blue,6,3,"When Tami Tamir enters the battlefield, end all Events and destroy all cards that can start Events. Destroy all creatures named Chigerious the Humble.
Flying
Sacrifice a Treasure: create a 1/1 Algorithm Creature token with Haste.",IRL,1,"""Can we do it?""",Minion,,
21,Avner(add pic of avner in prison break):,3,{r}{r}{r},Rare,Legendary,Enchantment Creature,Red,5,5,,PB,1,,,,
22,Eren: (monstrosity) (scry),3,{r}{r}{r},Rare,Legendary,Creature,Red,3,2,"{3}{r}{r} Monstrosity 3
{1}{r}{r}, sacrifice 2 creatures of power 2 or greater: MegaMonstrosity 5: You scry 1 for each player and Eren gains trample. (Activate only if Eren is monstrous and isn't mega-monstrous. Eren becomes mega-monstrous.)
",AOT,1,,,,
23,Creeper:,3,{2}{g},,,Creature,Colorless,5,1,Sacrifice Creeper: destroy target creature Creeper is blocking.,MC,4,"""Aww man.""",Buff,,
24,Zombie:,2,{2},Common,,Creature,Colorless,2,2,,MC,4,"""Zomb-! Oh, wait, that's just Louis. He's coming back from a meeting.""",Buff,,
25,Skeleton:,3,{3},Common,,Creature,Colorless,1,3,"{t}: Skeleton deals 1 damage to target creature.
When Skeleton dies, flip a coin. If heads, create a Weapon.",MC,4,,Buff,,
26,Spider:,2,{1}{b/g},Common,,Creature,Colorless,1,2,Reach,MC,4,,Buff,,
27,Villager ,4,{4},Uncommon,,Creature Artifact,Colorless,2,3,"{2}: flip a coin. If it's heads, choose 1:
- place a +1/+1 counter on a target creature
- make a Food, Treasure, or Weapon",MC,4,,Buff,,
28,Iron Golem,5,{5},Uncommon,,Creature Artfiact,Colorless,3,5,"Defender, Modular 1",MC,4,,Buff,,
29,Doron:,3,{2}{u},Rare,Sniper,Creature,Blue,3,1,Tap: deal damage equal to his power to target creature,TV,1,,,,
30,BOILER BOILER:,3,{3},Uncommon,,Instant,Colorless,-,-,Counter target Event.,TV,4,,Minion,,
31,Plotting,2,{1}{u},Common,,Sorcery,Blue,-,-,"Scry 2
Target creature gains first strike until end of turn.",PB,2,"""So there's this guy named Michael...""",Minioin,,
32,Michael Schofield:,4,{2}{w}{w},Rare,Legendary,Creature,White,2,4,"When Michael Scofield enters the battlefield, scry 2.
{t}: Begin a 2-turn Event with ""Players may sacrifice 1 food, treasure, or weapon token for any of the others.""",PB,1,BARGAIN?,,,
33,Link the Sink:,4,{1}{r/g}{r/g}{r/g},Rare,,Creature,Red/Green,5,4,"Trample
Bloodrush {1}{r}{r}",PB,1,,,,
34,Ocean that is not an ocean:,,DONT DO,DONT DO,DONT DO,Land,Blue,-,-,,-,0,,Nerf,,
35,Meow: (drunk louis),1,{1},Common,,Instant,Green,-,-,"Deal 1 damage to any target.
Storm",IRL,5,,,,
36,Ollie,1,{w},Common,,Creature,White,1,2,Bloodrush {w},IRL,3,,,,
37,Zuko,2,{1}{r},Common,,Creature,Red,3,2,Bloodrush {1}{r},IRL,3,,,,
